,Uses,Warnings,Dosage,What to avoid,Side effects,Interactions
ultomiris,Ultomiris is available only under a special program. You must be registered in the program and understand the risks and benefits of this medicine.,Some people may have an increased risk of gonorrhea (a sexually transmitted disease) while using this medicine. Talk with your doctor about safe ways to keep from getting an infection during sex.,"5 kg to less than 10 kg:
-Loading dose: 600 mg IV
-Maintenance dose: 300 mg IV every 4 weeks starting 2 weeks after the loading dose
10 kg to less than 20 kg:
-Loading dose: 600 mg IV
-Maintenance dose: 600 mg IV every 4 weeks starting 2 weeks after the loading dose
20 kg to less than 30 kg:
-Loading dose: 900 mg IV
-Maintenance dose: 2100 mg IV every 8 weeks starting 2 weeks after the loading dose
30 kg to less than 40 kg:
-Loading dose: 1200 mg IV
-Maintenance dose: 2700 mg IV every 8 weeks starting 2 weeks after the loading dose
40 kg to less than 60 kg:
-Loading dose: 2400 mg IV
-Maintenance dose: 3000 mg IV every 8 weeks starting 2 weeks after the loading dose
60 kg to less than 100 kg:
-Loading dose: 2700 mg IV
-Maintenance dose: 3300 mg IV every 8 weeks starting 2 weeks after the loading dose
100 kg or greater:
-Loading dose: 3000 mg IV
-Maintenance dose: 3600 mg IV every 8 weeks starting 2 weeks after the loading dose

Use: For the treatment of adults and pediatric patients one month and older with atypical hemolytic uremic syndrome (aHUS) to inhibit complement-mediated thrombotic microangiopathy (TMA)","Follow your doctor's instructions about any restrictions on food, beverages, or activity.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Other drugs may interact with ravulizumab, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell your doctor about all your current medicines and any medicine you start or stop using."
ultracet,Ultracet may also be used for purposes not listed in this medication guide.,"Fatal side effects can occur if you use this medicine with alcohol, or with other drugs that cause drowsiness or slow your breathing.","Usual dose: 2 tablets orally every 4 to 6 hours as needed for pain
Maximum dose: 8 tablets per day
Maximum duration: 5 days

Comments:
-Each tablet contains Tramadol 37.5 mg and Acetaminophen 325 mg. Maximum daily doses are Tramadol: 300 mg per day and Acetaminophen 2600 mg per day.
-Use of more than 1 product at time containing acetaminophen is not recommended.
-Due to the risks of addiction, abuse, and misuse, this drug is reserved for patients who have not been or are not expected to tolerate non-opioid pain medications or who have not obtained or are not expected to obtain analgesia with other pain management treatments.

Use: For the short-term (use should be limited to 5 days or less) management of acute pain, severe enough to require an opioid analgesic and for whom alternative treatments are inadequate.",Ask a doctor or pharmacist before using any other medicine that may contain acetaminophen (sometimes abbreviated as APAP). Taking certain medications together can lead to a fatal overdose.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Many other drugs may interact with acetaminophen and tramadol, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed here."
ultram,The extended-release form of this medicine is for around-the-clock treatment of pain. This form of Ultram is not for use on an as-needed basis for pain.,"Fatal side effects can occur if you use tramadol with alcohol, or with other drugs that cause drowsiness or slow your breathing.","Do not keep leftover opioid medication. Just one dose can cause death in someone using this medicine accidentally or improperly. Ask your pharmacist where to locate a drug take-back disposal program. If there is no take-back program, mix the leftover medicine with cat litter or coffee grounds in a sealed plastic bag and throw the bag in the trash.",Rramadol may impair your thinking or reactions. Avoid driving or operating machinery until you know how this medicine will affect you. Dizziness or severe drowsiness can cause falls or other accidents.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with tramadol, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this medication guide."
uptravi,Uptravi helps keep your condition from getting worse and helps lower your risk of needing to be hospitalized for PAH.,"Tell your doctor about all your current medicines and any you start or stop using. Many drugs can interact, and some drugs should not be used together.","Initial dose: 200 mcg orally twice a day
Maintenance dose: Increase in increments of 200 mcg orally twice a day at weekly intervals to the highest tolerated dose
Maximum dose: 1600 mcg orally twice a day

Comment:
-If the patient reaches a dose that is not well tolerated, reduce to a previously tolerated dose.

Use: For the treatment of pulmonary arterial hypertension (PAH) to delay disease progression and reduce the risk of hospitalization for PAH","Follow your doctor's instructions about any restrictions on food, beverages, or activity.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Other drugs may interact with selexipag, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell your doctor about all your current medicines and any medicine you start or stop using."
uroxatral,Uroxatral is used to improve urination in men with benign prostatic hyperplasia (enlarged prostate).,There are many other drugs that can interact with alfuzosin. Tell your doctor about all medications you use.,Extended-release tablet: 10 mg orally once a day immediately after the same meal each day,Drinking alcohol with this medicine can cause side effects.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Many other drugs can interact with alfuzosin, and some drugs should not be used at the same time. Tell your doctor about all your current medicines and any medicine you start or stop using. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed here."
utibron-neohaler,"Indacaterol may increase the risk of death in people with asthma, but the risk in people with COPD is not known. Talk with your doctor about your individual risk.","Seek medical attention if your breathing problems do not improve, or if your symptoms get worse quickly.","-1 inhalation (glycopyrrolate 15.6 mcg-indacaterol 27.5 mcg) orally TWICE a day (in the morning and in the evening)

Comments:
-For each inhalation, administer the content of 1 capsule using the Neohaler device.
-More frequent administration or a greater number of inhalations (more than 1 capsule twice a day) is not recommended. Do not use 2 capsules at one time.","Do not use a second inhaled bronchodilator that contains indacaterol or a similar medicine (such as arformoterol, formoterol, olodaterol, salmeterol, or vilanterol).",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Many drugs can interact with glycopyrrolate and indacaterol. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed here. Tell your doctor about all your current medicines and any medicine you start or stop using."
valacyclovir,"Valacyclovir will not cure herpes and will not prevent you from spreading the virus to other people. However, this medicine can lessen the symptoms of an infection.","Stop taking valacyclovir and call your doctor right away if you have any signs of a serious side effect that can harm red blood cells, such as: fever, easy bruising or bleeding, red spots on the skin (not related to herpes or chickenpox), bloody diarrhea, vomiting, pale or yellowed skin, weakness, fainting, or urinating less than usual or not at all.",Store valacyclovir tablets at room temperature away from moisture and heat.,"Do not share valacyclovir with another person, even if they have the same symptoms you have.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Other drugs may interact with valacyclovir, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell each of your health care providers about all medicines you use now and any medicine you start or stop using."
valium,Valium is sometimes used with other medications to treat seizures.,Do not give this medication to a child younger than 6 months old.,"Store at room temperature away from moisture, heat, and light. Keep track of your medicine. You should be aware if anyone is using it improperly or without a prescription.","Avoid driving or hazardous activity until you know how this medicine will affect you. Dizziness or drowsiness can cause falls, accidents, or severe injuries.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Other drugs may interact with diazepam, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell your doctor about all your current medicines and any medicine you start or stop using."
valtoco,It is not known if Valtoco is safe and effective in children under 6 years of age.,Do not use Valtoco nasal spray if you have an eye problem called acute narrow angle glaucoma.,"Store at room temperature away from moisture, heat, and light. Do not freeze.","Avoid driving or hazardous activity until you know how Valtoco will affect you. Dizziness or drowsiness can cause falls, accidents, or severe injuries.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Other drugs may interact with diazepam, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell your doctor about all your current medicines and any medicine you start or stop using."
valtrex,Valtrex may also be used for purposes not listed in this medication guide.,"Stop taking Valtrex and call your doctor right away if you have any signs of a serious side effect that can harm red blood cells, such as: fever, easy bruising or bleeding, red spots on the skin (not related to herpes or chickenpox), bloody diarrhea, vomiting, pale or yellowed skin, weakness, fainting, or urinating less than usual or not at all.",Store Valtrex tablets at room temperature away from moisture and heat.,"Do not share this medicine with another person, even if they have the same symptoms you have.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Other drugs may interact with valacyclovir, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell each of your health care providers about all medicines you use now and any medicine you start or stop using."
vancomycin,Oral vancomycin works only in the intestines and is not normally absorbed into the body. vancomycin will not treat other types of infection. An injectable form of this mediicne is available to treat serious infections in other parts of the body.,"Oral vancomycin works only in the intestines and will not treat infections in other parts of the body. Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.","Clostridium difficile-associated diarrhea: 125 mg orally 4 times a day
-Duration of therapy: 10 days

Enterocolitis: 500 mg to 2 g orally per day, given in divided doses 3 to 4 times a day
-Maximum dose: 2 g/day
-Duration of therapy: 7 to 10 days

Comment: Formulations administered by injection will not treat colitis.

Uses:
-Treatment of C difficile-associated diarrhea
-Treatment of enterocolitis caused by S aureus (including MRSA)

Society of Healthcare Epidemiology of America (SHEA) and IDSA Recommendations:
Initial treatment of severe C difficile infection (CDI): 125 mg orally 4 times a day
-Duration of therapy: 10 to 14 days

Severe, complicated CDI: 500 mg orally 4 times a day AND 500 mg (in 100 mL normal saline) rectally every 6 hours with/without IV metronidazole

Comments:
-Rectal formulations should be administered as a retention enema.
-The first recurrence of CDI may be treated with the initial treatment regimen; a second recurrence of CDI may be treated with a tapered/pulsed regimen of this drug.

Uses:
-Initial treatment of patients with severe CDI
-Initial treatment of patients with complicated, severe CDI","Follow your doctor's instructions about any restrictions on food, beverages, or activity.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Other drugs may interact with vancomycin, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell your doctor about all your current medicines and any medicine you start or stop using."
vascepa,It is not known whether Vascepa will lower your risk of pancreatitis (inflammation of your pancreas).,"Vascepa is only part of a treatment program that may also include diet, exercise, and weight control. Follow your doctor's instructions very closely.","2 g orally twice a day with food

Comments:
-Patients should be placed on an appropriate lipid-lowering diet and exercise regimen before initiating therapy and should continue this diet and exercise regimen during therapy.

Uses:
-As an adjunct to diet to reduce triglyceride (TG) levels in patients with severe (500 mg/dL or greater) hypertriglyceridemia.
-As an adjunct to maximally tolerated statin therapy to reduce the risk of myocardial infarction, stroke, coronary revascularization, and unstable angina requiring hospitalization in adult patients with triglyceride levels of 150 mg/dL or higher and established cardiovascular disease or diabetes mellitus and 2 or more additional risk factors for cardiovascular disease.",Avoid eating foods that are high in fat or cholesterol. Vascepa will not be as effective in lowering your cholesterol if you do not follow a cholesterol lowering diet plan.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with icosapent, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
vasotec,Vasotec is also used to treat a disorder of the ventricles (the lower chambers of the heart that allow blood to flow out of the heart). This disorder can decrease the heart's ability to pump blood to the body.,"Vasotec can affect your heart or your electrolyte levels. Call your doctor if you have chest pain, pounding heartbeats or fluttering in your chest, a slow heart rate or weak pulse, a tingly feeling, muscle weakness, or muscle tightness or contraction.","Children 1 month to 17 years:
Initial dose: 0.08 mg/kg/day (up to 5 mg) in 1 to 2 divided doses. Adjust dosage based on patient response.
Maximum dose: Doses greater than 0.58 mg/kg (40 mg) have not been evaluated in pediatric patients.

Comment:
-Not recommended in neonates and in pediatric patients with glomerular filtration rate less than 30 mL/min, as no data are available.","Do not use potassium supplements or salt substitutes, unless your doctor has told you to.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete and many other drugs may interact with Vasotec. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
venclexta,"Venclexta is also used in combination with azacitidine, decitabine, or low-dose cytarabine to treat acute myeloid leukemia.This combination is for use in adults who are 75 years or older, or who cannot use standard chemotherapy due to other medical conditions.","Tell your doctor about all your current medicines and any you start or stop using. Many drugs can interact, and some drugs should not be used together.","Store tablets in their original container at room temperature, away from moisture and heat. Do not put the tablets into a daily pill box.","Grapefruit, starfruit, and Seville oranges may interact with venetoclax and lead to unwanted side effects. Avoid consuming grapefruit products, starfruit, and orange marmalades.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Many drugs can interact with venetoclax. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed here. Tell your doctor about all your current medicines and any medicine you start or stop using."
venlafaxine,"Venlafaxine is a prescription medicine used to treat major depressive disorder, anxiety, and panic disorder.",Do not give this medicine to anyone younger than 18 years old without the advice of a doctor. Venlafaxine is not FDA approved for use in children.,"Extended release:
-Initial dose: 37.5 mg orally once a day for 7 days, then 75 mg orally once a day thereafter
-Maintenance dose: 75 to 225 mg orally once a day
-Maximum dose: 225 mg/day

Comment: Doses may be increased in daily increments of 75 mg orally at intervals of no less than 7 days.

Use: Treatment of Panic Disorder (PD), with or without agoraphobia",Avoid driving or hazardous activity until you know how venlafaxine will affect you. Your reactions could be impaired.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete and many other drugs may interact with venlafaxine. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
venofer,Venofer is for use in adults and children at least 2 years old.,"Before you receive Venofer, tell your doctor if you have low blood pressure, hepatitis, or if you have received many blood transfusions in the past.",You will need frequent medical tests to help your doctor determine how long to treat you with Venofer.,"Avoid getting up too fast from a sitting or lying position, or you may feel dizzy.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with iron sucrose, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
ventolin,Ventolin HFA is for use in adults and children who are at least 4 years old.,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.",Keep the inhaler canister away from open flame or high heat. The canister may explode if it gets too hot. Do not puncture or burn an empty inhaler canister.,Rinse with water if this medicine gets in your eyes.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with albuterol, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
verapamil,Verapamil injection is used to rapidly or temporarily restore normal heartbeats in people with certain heart rhythm disorders.,"You should not use verapamil if you have a serious heart condition such as ""sick sinus syndrome"" or ""AV block"" (unless you have a pacemaker), severe heart failure, Wolff-Parkinson-White, Lown-Ganong-Levine syndrome, or slow heartbeats that have caused you to faint.","Store at room temperature away from moisture, heat, and light.",Grapefruit may interact with verapamil and lead to unwanted side effects. Avoid the use of grapefruit products.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete and many other drugs can interact with verapamil. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Give a list of all your medicines to any healthcare provider who treats you."
verzenio,"When used in women, Verzenio is given with another medicine called fulvestrant.","Verzenio can cause blood clots, liver problems, or serious and sometimes fatal infections. Call your doctor right away if you have symptoms such as: fever, chills, easy bruising or bleeding, unusual tiredness, loss of appetite, right-sided upper stomach pain, chest pain, shortness of breath, rapid breathing, fast heartbeats, or pain or swelling in your arms or legs.","-In combination with fulvestrant or an aromatase inhibitor: 150 mg orally twice a day
-As Monotherapy: 200 mg orally twice a day
-Duration of Therapy: Until disease progression or unacceptable toxicity

Comments:
-If using this drug in combination with fulvestrant on pre/perimenopausal women, treat these patients with a gonadotropin-releasing hormone agonist according to current clinical practice standards.
-When used in combination with this drug, the recommended dose of fulvestrant is 500 mg on Days 1, 15, and 29, then once monthly thereafter; refer to the manufacturer product information for fulvestrant.

Use:
-In combination with an aromatase inhibitor as initial endocrine-based therapy for postmenopausal women with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer
-In combination with fulvestrant for women with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer with disease progression following endocrine therapy
-As monotherapy for adult patients with HR-positive, HER2-negative advanced or metastatic breast cancer with disease progression following endocrine therapy and prior chemotherapy in the metastatic setting",Grapefruit may interact with abemaciclib and lead to unwanted side effects. Avoid the use of grapefruit products.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with abemaciclib, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
vesicare,VESIcare 5 mg and 10 mg tablets are not approved for use in children.,"You should not use this medicine if you have untreated or uncontrolled narrow-angle glaucoma, a blockage in your digestive tract (stomach or intestines), or if you are unable to urinate.","Initial dose: 5 mg orally once daily
Maintenance dose: 5 to 10 mg orally once daily

Use: For the treatment of overactive bladder with symptoms of urge urinary incontinence, urgency, and urinary frequency",Avoid becoming overheated or dehydrated during exercise and in hot weather. VESIcare can decrease perspiration and you may be more prone to heat stroke.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Many drugs can interact with solifenacin. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed here. Tell your doctor about all your current medicines and any medicine you start or stop using."
viagra,"Do not take Viagra while also taking Revatio, unless your doctor tells you to.",Stop using Viagra and get emergency medical help if you have sudden vision loss.,Store at room temperature away from moisture and heat.,"Avoid using any other medicines to treat impotence, such as alprostadil or yohimbine, without first talking to your doctor.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with sildenafil, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this medication guide."
vicodin,Vicodin may also be used for purposes not listed in this medication guide.,Stop taking Vicodin and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling.,Always check your bottle to make sure you have received the correct pills (same brand and type) of medicine prescribed by your doctor.,Avoid drinking alcohol. It may increase your risk of liver damage while taking acetaminophen.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with acetaminophen and hydrocodone, including prescription and over-the- counter medicines, vitamins, and herbal products. Not all possible interactions are listed here."
victoza,Victoza may also help reduce the risk of serious heart problems such as heart attack or stroke in adults with type 2 diabetes and heart disease. It is usually given after other diabetes medicines have been tried without success. Victoza is not for treating type 1 diabetes.,"Call your doctor at once if you have signs of a thyroid tumor, such as swelling or a lump in your neck, trouble swallowing, a hoarse voice, or shortness of breath.","Initial dose: 0.6 mg subcutaneously once a day for 1 week; this dose is intended to reduce gastrointestinal symptoms and is not an effective dose for glycemic control.
Maintenance dose: Inject 1.2 mg subcutaneously once a day; if acceptable glycemic control is not achieved, may increase to 1.8 mg subcutaneously once a day
Maximum dose: 1.8 mg once a day

Comments:
-Consider dose reduction of the insulin secretagogue to reduce the risk of hypoglycemia.
-This drug is not recommended as a first-line therapy for patients with inadequate glycemic control on diet and exercise.","Never share an injection pen, cartridge, or syringe with another person, even if the needle has been changed. Sharing these devices can allow infections or disease to pass from one person to another.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with liraglutide, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this medication guide."
viibryd,Viibryd may also be used for purposes not listed in this medication guide.,Viibryd is not approved for use in children.,"Viibryd starting dose is typically 10 mg orally once a day for 7 days, followed by 20 mg orally once a day for an additional 7 days
Maintenance dose is 20-40 mg orally once a day.
Take Viibryd with food.",This medication may impair your thinking or reactions. Be careful if you drive or do anything that requires you to be alert.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete and many other drugs can interact with vilazodone. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Give a list of all your medicines to any healthcare provider who treats you."
vimpat,Vimpat is also used to treat primary generalized tonic-clonic seizures in people who are at least 4 years old.,"You may feel faint while using Vimpat. Call your doctor right away if you have fast or pounding heartbeats, shortness of breath, and sudden dizziness.","MONOTHERAPY:
-Initial dose: 100 mg orally or IV twice a day (200 mg per day)
-Titration: Increase the dose by 50 mg twice a day (100 mg per day) every 7 days
-Maintenance dose: 150 to 200 mg orally or IV twice a day (300 to 400 mg per day)
-Alternate dosing: Initiate therapy with a single loading dose of 200 mg orally or IV, followed 12 hours later by 100 mg orally or IV twice a day for 7 days; based on individual response and tolerability, the dose can be increased by 50 mg twice a day (100 mg per day) every 7 days, as needed, up to a maintenance dose of 150 to 200 mg orally or IV twice a day (the loading dose should be administered with medical supervision because of the increased incidence of CNS adverse reactions)

ADJUNCTIVE THERAPY:
-Initial dose: 50 mg orally or IV twice a day (100 mg per day)
-Titration: Increase the dose by 50 mg twice a day (100 mg per day) every 7 days
-Maintenance dose: 100 to 200 mg orally or IV twice a day (200 to 400 mg per day)
-Alternate dosing: Initiate therapy with a single loading dose of 200 mg orally or IV, followed 12 hours later by 100 mg orally or IV twice a day for 7 days; based on individual response and tolerability, the dose can be increased by 50 mg twice a day, as needed, up to the maximum maintenance dose of 200 mg orally or IV twice a day (the loading dose should be administered with medical supervision because of the increased incidence of CNS adverse reactions)

Comments:
-Therapy can be initiated with either oral or IV administration.
-The oral formulation may be taken with or without food.
-The IV formulation is intended as an alternative when oral administration is temporarily not feasible.
-The IV formulation can be administered in the same dosing regimens used for oral dosing, including the loading dose.
-The IV formulation should be infused over a period of 15 to 60 minutes; IV infusion over 30 to 60 minutes is preferable, and should be used when a 15-minute administration is not required.

Use: As monotherapy or adjunctive therapy for partial-onset seizures in patients 4 years of age and older",Avoid driving or hazardous activity until you know how this medicine will affect you. Your reactions could be impaired.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1 800 FDA 1088.,"This list is not complete. Other drugs may interact with lacosamide, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
vistaril,Vistaril is also used to treat allergic skin reactions such as hives or contact dermatitis.,Drinking alcohol can increase certain side effects of Vistaril.,Store at room temperature away from moisture and heat.,Drinking alcohol with this medicine can cause side effects.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Other drugs may interact with hydroxyzine, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed here. Tell each of your health care providers about all medicines you use now and any medicine you start or stop using."
vitamin-d,Only 10% of the vitamin D our body needs is obtained from food. The rest is made by our bodies when our skin is exposed to sunlight.,,,,,
vitamin_e,Vitamin E is used to treat or prevent vitamin E deficiency. People with certain diseases may need extra vitamin E.,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.","If you also take orlistat (alli, Xenical), do not take it within 2 hours before or 2 hours after you take vitamin E.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Dosing: 1 unit vitamin E = 1 mg dl-alpha-tocopherol acetate.

Oral:
Adequate Intake (AI):
1 to less than 6 months: 4 units daily
6 to less than 12 months: 5 units daily

Recommended Daily Allowance (RDA):
1 to 3 years: 6 units daily
4 to 8 years: 7 units daily
9 to 13 years: 11 units daily
13 years and Older: 15 units daily","This list is not complete. Other drugs may interact with vitamin E, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this medication guide."
vivitrol,Vivitrol is not a permanent cure for drug addiction or alcoholism.,"After receiving Vivitrol, your body will be more sensitive to opioids if you use an opioid medicine in the future. Using the same amount you used before could lead to overdose or death.","Injection:
380 mg intramuscularly every 4 weeks/once a month

Comments:
-There is no data specifically addressing switching from buprenorphine or methadone to naltrexone, however some patients have reported severe manifestations of precipitated withdrawal when switched from an opioid agonist to opioid antagonist therapy.
-Patients switching from buprenorphine or methadone may be vulnerable to precipitated withdrawal for up to 2 weeks.
-Be prepared to manage withdrawal symptomatically with non-opioid medications.
-This drug is of value only as a part of a comprehensive management plan that includes measures to ensure the patient takes this medication.


Use(s): Blockade of the effects of exogenously administered opioids","Avoid driving or hazardous activity until you know how this medicine will affect you. Dizziness or drowsiness can cause falls, accidents, or severe injuries.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Other drugs may interact with naltrexone, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell your doctor about all your current medicines and any medicine you start or stop using."
voltaren-gel,Voltaren Arthritis Pain gel may not be effective in treating arthritis pain elsewhere in the body.,"Diclofenac may also cause stomach or intestinal bleeding, which can be fatal. These conditions can occur without warning while you are using Voltaren Arthritis Pain gel, especially in older adults.","1% Gel:
Lower Extremities: Apply 4 g to the affected foot, knee, or ankle 4 times a day and rub in gently; not to exceed 16 g/day to any single joint of the lower extremities

Upper Extremities: Apply 2 g to the affected hand, wrist, or elbow 4 times a day and rub in gently; not to exceed 8 g/day to any single joint of the upper extremities

Maximum dose: 32 g/day over all affected joints

Comments:
-When used on the lower extremities, the gel should be applied to the entire affected foot, knee, or ankle; the entire foot includes the sole, the top of the foot, and the toes.
-When used on the upper extremities, apply to the entire affected hand, wrist, or elbow; the entire hand includes the palm, the back of the hands, and the fingers.
-The accompanying dosing card should be used for application; consult manufacturer product information for instructions.

Use: For the relief of pain associated with osteoarthritis of the joints amenable to topical treatment, such as the knees and those of the hands; this drug has not been evaluated for use on the spine, hip, or shoulder.","Ask a doctor or pharmacist before using any cold, allergy, or pain medication. Many medicines available over the counter contain aspirin or other medicines similar to diclofenac. Taking certain products together can cause you to get too much of this type of medication. Check the label to see if a medicine contains aspirin, ibuprofen, ketoprofen, or naproxen.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with diclofenac topical, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this medication guide."
voltaren,Voltaren gel is used to treat osteoarthritis of the knees and hands.,"Voltaren may also cause stomach or intestinal bleeding, which can be fatal. These conditions can occur without warning while you are using this medicine, especially in older adults.",Store at room temperature away from moisture and heat. Keep the bottle tightly closed when not in use.,"Ask a doctor or pharmacist before using other medicines for pain, fever, swelling, or cold/flu symptoms. They may contain ingredients similar to diclofenac (such as aspirin, ibuprofen, ketoprofen, or naproxen).",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with diclofenac, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
